estmtd_rsdnt_ppltn_smmry_sttstcs_30_jne_prsns_ttl_nm, lga_name_2019, yr, lga_code_2019
5159211,Melbourne ,2019,24600
164895,Melton ,2019,24650
55777,Mildura ,2019,24780
46082,Mitchell ,2019,24850
29925,Moira ,2019,24900
845,Pormpuraaw ,2019,36070
202847,Monash ,2019,24970
130294,Moonee Valley ,2019,25060
35049,Moorabool ,2019,25150
185767,Moreland ,2019,25250
34585,Western Downs ,2019,37310
167636,Mornington Peninsula ,2019,25340
19754,Mount Alexander ,2019,25430
16953,Moyne ,2019,25490
14570,Murrindindi ,2019,25620
65094,Nillumbik ,2019,25710
11402,Northern Grampians ,2019,25810
778,Quilpie ,2019,36150
115601,Port Phillip ,2019,25900
7472,Pyrenees ,2019,25990
2940,Queenscliffe ,2019,26080
29914,South Gippsland ,2019,26170
16100,Southern Grampians ,2019,26260
117768,Stonnington ,2019,26350
810,Richmond ,2019,36300
10781,Strathbogie ,2019,26430
33456,Surf Coast ,2019,26490
20649,Swan Hill ,2019,26610
6040,Towong ,2019,26670
29187,Wangaratta ,2019,26700
35181,Warrnambool ,2019,26730
5104,Torres Strait Island ,2019,36960
44380,Wellington ,2019,26810
3841,West Wimmera ,2019,26890
178739,Whitehorse ,2019,26980
230238,Whittlesea ,2019,27070
42083,Wodonga ,2019,27170
270487,Wyndham ,2019,27260
101495,Yarra ,2019,27350
159462,Yarra Ranges ,2019,27450
6639,Yarriambiack ,2019,27630
881,Unincorporated Vic,2019,29399
4360,Balonne ,2019,30300
2901,Yarrabah ,2019,37600
14156,Banana ,2019,30370
2849,Barcaldine ,2019,30410
1868,Blackall-Tambo ,2019,30760
423,Boulia ,2019,30900
95856,Bundaberg ,2019,31820
325,Bulloo ,2019,31750
16971,Burdekin ,2019,31900
166862,Cairns ,2019,32080
29794,Cassowary Coast ,2019,32260
28701,Central Highlands  (Qld),2019,32270
11739,Charters Towers ,2019,32310
3047,Cloncurry ,2019,32450
4549,Cook ,2019,32500
1331,Cherbourg ,2019,32330
1505,Flinders  (Qld),2019,33200
291,Diamantina ,2019,32750
1526,Doomadgee ,2019,32770
106712,Fraser Coast ,2019,33220
63412,Gladstone ,2019,33360
27427,Alexandrina ,2019,40220
620518,Gold Coast ,2019,33430
10799,Goondiwindi ,2019,33610
52446,Gympie ,2019,33620
25021,Barossa ,2019,40310
10687,Hinchinbrook ,2019,33800
222307,Ipswich ,2019,33960
20886,Isaac ,2019,33980
38078,Livingstone ,2019,34530
41731,Lockyer Valley ,2019,34580
334358,Logan ,2019,34590
3470,Longreach ,2019,34710
116763,Mackay ,2019,34770
12665,Maranoa ,2019,34860
22730,Mareeba ,2019,34880
2563,Barunga West ,2019,40430
469465,Moreton Bay ,2019,35010
18595,Mount Isa ,2019,35300
4295,Murweh ,2019,35600
55873,Noosa ,2019,35740
10599,North Burnett ,2019,35760
1562,Paroo ,2019,35800
158815,Redland ,2019,36250
81512,Rockhampton ,2019,36370
43123,Scenic Rim ,2019,36510
26219,Somerset ,2019,36580
45816,Burnside ,2019,40700
32521,South Burnett ,2019,36630
35452,Southern Downs ,2019,36660
